CODE,NOM,POP
001,Abondance,1482
002,Alby-sur-Chéran,2380
003,Alex,1057
004,Allèves,387
005,Allinges,4354
006,Allonzier-la-Caille,1779
007,Amancy,2437
008,Ambilly,6175
009,Andilly,824
010,Annecy,54087
011,Annecy-le-Vieux,21056
012,Annemasse,34734
013,Anthy-sur-Léman,2169
014,Arâches-la-Frasse,1935
015,Arbusigny,1080
016,Archamps,2638
018,Arenthon,1587
019,Argonay,2896
020,Armoy,1331
021,Arthaz-Pont-Notre-Dame,1379
022,Aviernoz,882
024,Ayse,2164
025,Ballaison,1493
026,La Balme-de-Sillingy,5184
027,La Balme-de-Thuy,437
029,Bassy,453
030,La Baume,280
031,Beaumont,2509
032,Bellevaux,1337
033,Bernex,1271
034,Le Biot,530
035,Bloye,596
036,Bluffy,386
037,Boëge,1728
038,Bogève,1065
040,Bonne,3283
041,Bonnevaux,259
042,Bonneville,13112
043,Bons-en-Chablais,5350
044,Bossey,892
045,Le Bouchet-Mont-Charvin,241
046,Boussy,513
048,Brenthonne,953
049,Brizon,467
050,Burdignin,666
051,Cercier,639
052,Cernex,967
053,Cervens,1154
054,Chainaz-les-Frasses,640
055,Challonges,512
056,Chamonix-Mont-Blanc,9295
057,Champanges,911
061,Chapeiry,820
058,La Chapelle-d'Abondance,881
059,La Chapelle-Rambaud,247
060,La Chapelle-Saint-Maurice,135
062,Charvonnex,1246
063,Châtel,1204
064,Châtillon-sur-Cluses,1292
065,Chaumont,440
066,Chavannaz,204
067,Chavanod,2599
068,Chêne-en-Semine,421
069,Chênex,738
070,Chens-sur-Léman,2177
071,Chessenaz,203
072,Chevaline,212
073,Chevenoz,593
074,Chevrier,456
075,Chilly,1150
076,Choisy,1581
077,Clarafond-Arcine,914
079,Les Clefs,617
078,Clermont,429
080,La Clusaz,1851
081,Cluses,18044
082,Collonges-sous-Salève,4038
083,Combloux,2177
084,Cons-Sainte-Colombe,382
086,Contamine-Sarzin,622
087,Contamine-sur-Arve,1913
085,Les Contamines-Montjoie,1242
088,Copponex,1006
089,Cordon,1017
090,Cornier,1265
091,La Côte-d'Arbroz,304
093,Cran-Gevrier,17859
094,Cranves-Sales,6523
095,Crempigny-Bonneguête,291
096,Cruseilles,4430
097,Cusy,1859
098,Cuvat,1139
099,Demi-Quartier,985
100,Desingy,830
101,Dingy-en-Vuache,661
102,Dingy-Saint-Clair,1405
103,Domancy,2031
104,Doussard,3671
105,Douvaine,5386
106,Draillant,768
107,Droisy,160
108,Duingt,916
109,Éloise,866
110,Entremont,662
111,Entrevernes,219
112,Épagny,4226
114,Essert-Romand,500
116,Etaux,1917
117,Étercy,768
118,Étrembières,2199
119,Évian-les-Bains,8915
120,Évires,1424
121,Excenevex,1132
122,Faucigny,554
123,Faverges,7215
124,Feigères,1596
